star,date,HJD,teff,logg,feh,vsini,addmode,rv_meas,rv_meas_err,ccf,instrument,mcmc_logg,mcmc_rv,mcmc_rv_err,mcmc_teff,mcmc_vsini,filename,o2_rv,o2_rv_err,h2o_rv,h2o_rv_err,name,rv_lit,rv_lit_err,o_RV,eRV,wds_binary,sb9_binary,my_binary,separation,K1,known_binary
HIP 12803,2014-01-19,2456676.53562,12000,4.5,0.0,250,ml,18.0479571647,0.661528447649,0.908209123484,TS23,3.62768099771,11.9021400199,0.139073892583,10715.6340491,243.860434132,/home/kgullikson/School/Research/McDonaldData/20140119/HIP_12803.fits,-0.839072134673,0.11458981332,-0.532344817588,0.0609924964995,HIP 12803,-2.4,3.3,2.0,7.9,0.0,0.0,0.0,,,False
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,30.3999996185,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,0.10000000149,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,34.0,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,28.5,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,122.5,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,7.40000009537,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,9.0,,True
HIP 13209,2013-11-22,2456618.66514,13000,4.5,0.0,250,ml,-7.66814736216,0.898043853108,0.861356259282,TS23,3.98315062205,-7.66761517627,0.120545880301,12469.242034,255.472228847,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13209.fits,-0.714559893219,0.0988644898853,-0.444513221488,0.102999307178,HIP 13209,4.0,4.1,1.0,,1.0,0.0,0.0,12.3000001907,,True
HIP 13327,2014-01-13,2456670.53893,15000,4.5,0.0,150,ml,9.98779984749,0.354823810363,0.916406464626,TS23,3.76783099501,0.865127904779,0.0795569708697,13835.6604153,197.406487303,/home/kgullikson/School/Research/McDonaldData/20140113/HIP_13327.fits,-0.815519356091,0.068811380324,-0.532830978394,0.0678436093098,HIP 13327,17.0,2.9,1.0,,0.0,0.0,1.0,,,True
HIP 1366,2013-10-20,2456585.732,9000,4.0,0.0,80,ml,-3.03793275484,0.186353937736,0.942720562142,TS23,3.70884524927,-3.09563256719,0.0157214901886,8840.38995595,92.8095192208,/home/kgullikson/School/Research/McDonaldData/20131020/HIP_1366.fits,-0.728906737601,0.218809363006,-0.458733263652,0.216104785581,HIP 1366,-8.8,0.9,1.0,,1.0,0.0,0.0,0.10000000149,,True
HIP 13879,2013-11-22,2456618.70748,9000,4.0,0.0,250,ml,13.0327267695,0.55449793149,0.923317559829,TS23,3.58809798151,17.5275311168,0.0536236323257,8734.41541197,206.303379986,/home/kgullikson/School/Research/McDonaldData/20131122/HIP_13879.fits,-0.788368613576,0.092052224643,-0.524887791523,0.0952748322882,HIP 13879,14.2,2.8,1.0,,0.0,0.0,0.0,,,False
HIP 13879,2014-01-24,2456681.68556,9000,3.5,0.0,250,ml,8.90806536151,0.890510151851,0.843731306216,TS23,3.62936083055,16.9621136275,0.360545858732,8838.84262841,201.46847676,/home/kgullikson/School/Research/McDonaldData/20140124/HIP_13879.fits,-0.666869904956,,-0.423197826054,,HIP 13879,14.2,2.8,1.0,,0.0,0.0,0.0,,,False
HIP 14576,2013-10-17,2456582.92805,12000,4.5,0.0,40,ml,23.8394656084,0.197018300973,0.817581929043,TS23,4.5,23.2476883887,0.0133698521841,12502.8254381,58.3737896929,/home/kgullikson/School/Research/McDonaldData/20131017/HIP_14576.fits,-0.651456535154,0.131768648924,-0.405148235664,0.117444131698,HIP 14576,3.7,3.9,1.0,,1.0,,1.0,11.1000003815,44.0,True
HIP 14576,2013-10-17,2456582.92805,12000,4.5,0.0,40,ml,23.8394656084,0.197018300973,0.817581929043,TS23,4.5,23.2476883887,0.0133698521841,12502.8254381,58.3737896929,/home/kgullikson/School/Research/McDonaldData/20131017/HIP_14576.fits,-0.651456535154,0.131768648924,-0.405148235664,0.117444131698,HIP 14576,3.7,3.9,1.0,,1.0,,1.0,11.1000003815,12.0,True
HIP 14576,2013-10-17,2456582.92805,12000,4.5,0.0,40,ml,23.8394656084,0.197018300973,0.817581929043,TS23,4.5,23.2476883887,0.0133698521841,12502.8254381,58.3737896929,/home/kgullikson/School/Research/McDonaldData/20131017/HIP_14576.fits,-0.651456535154,0.131768648924,-0.405148235664,0.117444131698,HIP 14576,3.7,3.9,1.0,,1.0,,1.0,0.0,44.0,True
HIP 14576,2013-10-17,2456582.92805,12000,4.5,0.0,40,ml,23.8394656084,0.197018300973,0.817581929043,TS23,4.5,23.2476883887,0.0133698521841,12502.8254381,58.3737896929,/home/kgullikson/School/Research/McDonaldData/20131017/HIP_14576.fits,-0.651456535154,0.131768648924,-0.405148235664,0.117444131698,HIP 14576,3.7,3.9,1.0,,1.0,,1.0,0.0,12.0,True
HIP 14576,2013-10-17,2456582.92805,12000,4.5,0.0,40,ml,23.8394656084,0.197018300973,0.817581929043,TS23,4.5,23.2476883887,0.0133698521841,12502.8254381,58.3737896929,/home/kgullikson/School/Research/McDonaldData/20131017/HIP_14576.fits,-0.651456535154,0.131768648924,-0.405148235664,0.117444131698,HIP 14576,3.7,3.9,1.0,,1.0,,1.0,0.10000000149,44.0,True
